,Fecha,Temperatura,Humedad,Presion,PrecipA6,PrecipCATotal
0,2017-01-01 00:00:00,23.67607600000008,70.59060511187893,1022.0048999999999,0.0,0.0
1,2017-01-01 03:00:00,23.51617925000005,72.73215388812096,1022.1824000000001,0.0,0.0
2,2017-01-01 06:00:00,23.831472027969824,71.84196177624203,1022.233,0.0,0.0
3,2017-01-01 09:00:00,23.68235850000002,74.46313288812101,1016.8393155524841,0.0,0.0
4,2017-01-01 12:00:00,24.289320972030282,73.51569600000002,1017.7325155524841,0.0,0.0
5,2017-01-01 15:00:00,24.837539194060582,73.001239,1023.5736,0.0,0.0
6,2017-01-01 18:00:00,25.07586950000001,74.002446440605,1018.3879155524841,0.0,0.0
7,2017-01-01 21:00:00,24.57067997203029,76.80203344060499,1020.3096,0.0,0.0
8,2017-01-02 00:00:00,25.03225524999999,77.36905355248403,1020.7946,0.0,0.0
9,2017-01-02 03:00:00,24.537745694060504,82.18512999999999,1019.001215552484,0.0,0.0
10,2017-01-02 06:00:00,24.672255250000035,82.63686711187898,1020.971168447516,0.0,0.0
11,2017-01-02 09:00:00,24.763038472030246,82.337280111879,1021.0225,-0.00010819536712840507,0.0002387702363576727
12,2017-01-02 12:00:00,24.80314172203026,84.236867111879,1021.2222000000002,-0.0002236514764443215,-0.0002236514764443215
13,2017-01-02 15:00:00,25.081359944060523,82.25927722375798,1021.280668447516,-0.0002056499569721556,0.00018641257034204177
14,2017-01-02 18:00:00,25.236076000000025,81.06905355248404,1021.4459000000002,-0.0004112999139443112,-0.00031384532410056067
15,2017-01-02 21:00:00,25.314406305939485,80.790637664363,1015.7562155524842,-0.0003065845819130493,3.138026183694553e-05
16,2017-01-03 00:00:00,25.29225525000004,85.462719888121,1021.624,-0.0003967784295692885,-0.0003065845819130493
17,2017-01-03 03:00:00,25.351368777969753,86.335628111879,1021.2783,0.0006939312069721556,0.0003469656034860778
18,2017-01-03 06:00:00,24.940679972030296,87.27249522375799,1016.0290520000001,0.0006939312069721556,0.0006939312069721556
19,2017-01-03 09:00:00,24.675396027969782,85.99958699999999,1017.0666999999999,-0.00010819536712840507,-0.00015329229095652466
20,2017-01-03 12:00:00,25.0761880839093,86.54154877624202,1017.0759,-0.0013885382531971,-0.0013885382531971
21,2017-01-03 15:00:00,25.46597275000005,80.265197888121,1017.2771,0.0002157148950040213,0.0005716812582261821
22,2017-01-03 18:00:00,25.903304500000047,78.63587088812096,1017.5477000000001,0.002273555227035283,0.0014534271334625565
23,2017-01-03 21:00:00,25.947908472030292,76.43628388812095,1014.194,0.0018834044061318226,0.001820305962831537
24,2017-01-04 00:00:00,24.722038972030305,84.74399422375795,1014.418,0.001659752929687501,0.001659752929687501
25,2017-01-04 03:00:00,24.550103250000006,85.39490533563698,1014.7288,0.002556659779256789,0.0029007789724789504
26,2017-01-04 06:00:00,24.049432111878957,89.135628111879,1015.2543,0.001448337453597716,0.0025173792852744414
27,2017-01-04 09:00:00,24.330120917818476,86.93483466436308,1011.9372,0.0006191277621910179,0.000594398679953439
28,2017-01-04 12:00:00,24.00179061187896,86.34623044060507,1012.1035999999999,-0.00030726042116583816,-0.00030726042116583816
29,2017-01-04 15:00:00,25.129010277969712,82.2146356643629,1011.310383552484,-8.385103178578384e-05,-2.5541637102791735e-05
30,2017-01-04 18:00:00,25.32712525000005,78.6684377762419,1011.7567,0.00037731347656247416,0.00026911810943406906
31,2017-01-04 21:00:00,27.045465333909306,73.42364911187897,1011.7401,0.009172575331883395,0.009172575331883395
32,2017-01-05 00:00:00,25.678915861879034,79.68675044060497,1011.3849,0.012935510311908966,0.012935510311908966
33,2017-01-05 03:00:00,24.721016223758,81.63274455939475,1010.2745,-9.745458984375052e-05,-0.0001641834042377917
34,2017-01-05 06:00:00,21.88419188984875,83.12146333563656,1013.0709000000002,-0.00023091221863183285,-9.745458984375052e-05
35,2017-01-05 09:00:00,20.577332667818553,66.65271120993597,1012.1352000000002,0.0,0.0
36,2017-01-05 12:00:00,19.60586947375799,64.1107735455732,1017.022884447516,0.0,0.0
37,2017-01-05 15:00:00,20.680051611879037,60.89672755939501,1014.1494,0.0,0.0
38,2017-01-05 18:00:00,22.585593694060492,58.678001895031954,1012.5842,0.0,0.0
39,2017-01-05 21:00:00,24.53958700000004,51.71022088812107,1011.5603,0.0,0.0
40,2017-01-06 00:00:00,24.003623083909304,61.19366633563696,1014.7352,0.0,0.0
41,2017-01-06 03:00:00,23.726763861878965,65.433150111879,1013.5268,0.0,0.0
42,2017-01-06 06:00:00,22.014457917818447,77.00034144060518,1013.3994,0.0,0.0
43,2017-01-06 09:00:00,21.330060445788206,81.67242366436317,1012.9771000000001,0.0,0.0
44,2017-01-06 12:00:00,19.9820310559395,96.20978379006371,1017.1205,0.0,0.0
45,2017-01-06 15:00:00,21.532401277969768,83.3381786781848,1017.0975,0.0,0.0
46,2017-01-06 18:00:00,24.74617925000007,68.297140559395,1017.8215,0.0,0.0
47,2017-01-06 21:00:00,25.15450072203032,72.16857544751588,1014.3064,0.0,0.0
48,2017-01-07 00:00:00,25.440688805939544,80.91559933563686,1014.9591,0.0,0.0
49,2017-01-07 03:00:00,25.06539602796977,82.52702766436292,1015.5272,0.005551449655777245,0.005551449655777245
50,2017-01-07 06:00:00,25.371575277969725,79.65641877624206,1016.3276000000001,0.01067011784304087,0.010688119362513035
51,2017-01-07 09:00:00,25.84069763984877,77.24664344060507,1016.7861,-0.00032178190554086087,-0.0007354763234209798
